Text|Original_Ground_Truth_Sentiment|Predicted_Sentiment|My_Ground_Truth
lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness .|Positive|Positive|Positive
consistently clever and suspenseful .|Positive|Positive|Positive
it's like a " big chill " reunion of the baader-meinhof gang , only these guys are more harmless pranksters than political activists .|Positive|Negative|Neutral
the story gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill .|Positive|Positive|Positive
red dragon " never cuts corners .|Positive|Positive|Positive
fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .|Positive|Positive|Positive
throws in enough clever and unexpected twists to make the formula feel fresh .|Positive|Positive|Positive
weighty and ponderous but every bit as filling as the treat of the title .|Positive|Positive|Positive
a real audience-pleaser that will strike a chord with anyone who's ever waited in a doctor's office , emergency room , hospital bed or insurance company office .|Positive|Positive|Positive
generates an enormous feeling of empathy for its characters .|Positive|Positive|Positive
exposing the ways we fool ourselves is one hour photo's real strength .|Positive|Positive|Positive
it's up to you to decide whether to admire these people's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of american life .|Positive|Positive|Neutral
mostly , [goldbacher] just lets her complicated characters be unruly , confusing and , through it all , human .|Positive|Positive|Positive
. . . quite good at providing some good old fashioned spooks .|Positive|Positive|Positive
at its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .|Positive|Negative|Negative
scherfig's light-hearted profile of emotional desperation is achingly honest and delightfully cheeky .|Positive|Positive|Positive
a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship
the wonderfully lush morvern callar is pure punk existentialism , and ms . ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh's book trainspotting .|Positive|Negative|Negative
as it turns out , you can go home again .|Positive|Negative|Negative
you've already seen city by the sea under a variety of titles , but it's worth yet another visit .|Positive|Positive|Positive
this kind of hands-on storytelling is ultimately what makes shanghai ghetto move beyond a good , dry , reliable textbook and what allows it to rank with its worthy predecessors .|Positive|Positive|Positive
making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .|Positive|Negative|Positive
grown-up quibbles are beside the point here . the little girls understand , and mccracken knows that's all that matters .|Positive|Positive|Positive
a powerful , chilling , and affecting study of one man's dying fall .|Positive|Positive|Positive
this is a fascinating film because there is no clear-cut hero and no all-out villain .|Positive|Positive|Positive
a dreadful day in irish history is given passionate , if somewhat flawed , treatment .|Positive|Positive|Positive
. . . a good film that must have baffled the folks in the marketing department .|Positive|Negative|Positive
. . . is funny in the way that makes you ache with sadness ( the way chekhov is funny ) , profound without ever being self-important , warm without ever succumbing to sentimentality .|Positive|Positive|Positive
devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking .|Positive|Negative|Negative
a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .|Positive|Positive|Positive





















































































































































































































































































































































































































































































































































































































































































































































































































































